"Night Train","Name","Itinerary","More details","Route","Countries","Operator","Tickets"
" ",,,"<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id="">View details</a>",,,,
"ATC IR 11500 + IR 11501",,"Arad – București","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=24"">View details</a>","IR 11500: Arad - Timişoara Nord - Craiova - București Nord<br><br>IR 11501: București Nord - Craiova - Timişoara Nord - Arad","RO","ATC","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.astratranscarpatic.ro/"">Book tickets</a>"
"BDŽ Fast 2626 + Fast 2627",,"Varna – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=133"">View details</a>","Fast 2626: Varna - Shumen - Targovishte - Gorna Oryahovitsa - Mezdra - Sofia<br><br>Fast 2627: Sofia - Mezdra - Pleven - Targovishte - Shumen - Varna","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ Fast 2636 + Fast 2637",,"Dobrich – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=142"">View details</a>","Fast 2636: Dobrich - Poveljanovo - Dalgopol - Sliven - Pirdop - Sofia<br><br>Fast 2637: Sofia - Pirdop - Sliven - Dalgopol - Poveljanovo - Dobrich","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ Fast 3636 + Fast 3637",,"Varna – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=132"">View details</a>","Fast 3636: Varna - Poveljanovo - Dalgopol - Sliven - Pirdop - Sofia<br><br>Fast 3637: Sofia - Pirdop - Sliven - Dalgopol - Varna","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ Fast 3686 + Fast 3687",,"Burgas – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=139"">View details</a>","Fast 3686: Burgas - Sliven - Sofia<br><br>Fast 3687: Sofia - Pirdop - Sliven - Burgas","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ Fast 8626 + Fast 8627",,"Burgas – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=134"">View details</a>","Fast 8626: Burgas - Jambol - Stara Zagora - Dimitrovgrad - Plovdiv - Septemvri - Iskar - Sofia<br><br>Fast 8627: Sofia - Iskar - Septemvri - Plovdiv - Dimitrovgrad - Stara Zagora - Jambol - Burgas","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ Fast 8656 + Fast 8657",,"Varna – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=131"">View details</a>","Fast 8656: Varna - Jambol - Stara Zagora - Dimitrovgrad - Plovdiv - Septemvri - Iskar - Sofia<br><br>Fast 8657: Sofia - Iskar - Septemvri - Plovdiv - Dimitrovgrad - Stara Zagora - Poveljanovo - Varna","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ Fast 9646 + Fast 9647",,"Silistra – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=135"">View details</a>","Fast 9646: Silistra - Ruse - Gorna Oryahovitsa - Pleven - Mezdra - Sofia<br><br>Fast 9647: Sofia - Mezdra - Pleven - Gorna Oryahovitsa - Ruse - Silistra","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"ČD EN 40458 + EN 40459","Jižní expres","Praha – Zürich","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=120"">View details</a>","EN 40458: Praha hl.n. - Ústí n.L.hl.n. - Dresden Hbf - Riesa - Freiburg (Breisgau) Hbf - Basel SBB - Zürich HB<br><br>EN 40459: Zürich HB - Basel SBB - Freiburg (Breisgau) Hbf - Offenburg - Karlsruhe Hbf - Mannheim - Frankfurt am Main Hbf - Leipzig Hbf - Dresden Hbf - Děčín hl.n. - Ústí n.L.hl.n. - Praha hl.n.","CH, DE, CZ","ČD","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cd.cz/en/spojeni-a-jizdenka/"">Book tickets</a>"
"ČD EN 476 + EN 477","Metropol","Budapest – Praha","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=4"">View details</a>","EN 476: Budapest Nyugati - Vac - Nové Zámky - Bratislava hl.st. - Břeclav - Brno hl.n. - Pardubice hl.n. - Praha hl.n.<br><br>EN 477: Praha hl.n. - Pardubice hl.n. - Brno hl.n. - Břeclav - Bratislava hl.st. - Nové Zámky - Vac - Budapest Nyugati","HU, CZ","ČD","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cd.cz/en/spojeni-a-jizdenka/"">Book tickets</a>"
